admin_id,type_id,agr_count
1,1,218
1,2,211
1,3,225
1,4,233
1,5,225
1,6,213
1,7,216
1,8,198
1,9,228
1,10,227
2,1,184
2,2,200
2,3,211
2,4,202
2,5,205
2,6,208
2,7,204
2,8,198
2,9,215
2,10,203
3,1,221
3,2,206
3,3,225
3,4,225
3,5,216
3,6,217
3,7,197
3,8,207
3,9,185
3,10,190
4,1,228
4,2,222
4,3,248
4,4,234
4,5,228
4,6,247
4,7,209
4,8,182
4,9,202
4,10,191
5,1,198
5,2,236
5,3,216
5,4,194
5,5,228
5,6,214
5,7,205
5,8,182
5,9,221
5,10,208
6,1,248
6,2,189
6,3,208
6,4,196
6,5,227
6,6,223
6,7,202
6,8,188
6,9,210
6,10,227
7,1,214
7,2,184
7,3,218
7,4,206
7,5,214
7,6,251
7,7,237
7,8,188
7,9,202
7,10,230
8,1,210
8,2,206
8,3,220
8,4,227
8,5,218
8,6,248
8,7,189
8,8,199
8,9,219
8,10,212
9,1,202
9,2,213
9,3,228
9,4,230
9,5,221
9,6,208
9,7,209
9,8,192
9,9,213
9,10,216
10,1,207
10,2,195
10,3,228
10,4,227
10,5,213
10,6,241
10,7,219
10,8,194
10,9,227
10,10,215
11,1,228
11,2,177
11,3,215
11,4,227
11,5,206
11,6,213
11,7,198
11,8,208
11,9,213
11,10,220
12,1,215
12,2,203
12,3,229
12,4,218
12,5,203
12,6,199
12,7,198
12,8,205
12,9,201
12,10,225
13,1,216
13,2,210
13,3,200
13,4,208
13,5,217
13,6,232
13,7,206
13,8,187
13,9,221
13,10,172
14,1,196
14,2,211
14,3,217
14,4,232
14,5,236
14,6,225
14,7,218
14,8,181
14,9,214
14,10,185
15,1,230
15,2,227
15,3,232
15,4,202
15,5,213
15,6,242
15,7,212
15,8,181
15,9,210
15,10,224
16,1,230
16,2,238
16,3,224
16,4,234
16,5,225
16,6,196
16,7,213
16,8,196
16,9,210
16,10,202
17,1,221
17,2,181
17,3,237
17,4,228
17,5,218
17,6,247
17,7,226
17,8,200
17,9,198
17,10,215
18,1,242
18,2,195
18,3,212
18,4,230
18,5,229
18,6,209
18,7,190
18,8,191
18,9,191
18,10,188
19,1,245
19,2,211
19,3,222
19,4,204
19,5,207
19,6,226
19,7,205
19,8,168
19,9,207
19,10,199
20,1,216
20,2,199
20,3,218
20,4,229
20,5,229
20,6,251
20,7,208
20,8,196
20,9,200
20,10,188
